2026-05-26 11:44:52,606 | accel_jobs | INFO | Processed: Lead Finance Data Analyst
2026-05-26 14:27:33,709 | accel_jobs | INFO | accel_jobs scraper started
2026-05-26 14:27:33,709 | accel_jobs | INFO | Initializing accel_jobs scraper
2026-05-26 14:27:40,930 | accel_jobs | INFO | Browser initialized for accel_jobs
2026-05-26 14:27:40,931 | accel_jobs | INFO | Searching: software engineer
2026-05-26 14:27:43,209 | accel_jobs | INFO | Processed: Software Engineer I
2026-05-26 14:27:43,210 | accel_jobs | INFO | Processed: Software Engineer 1
2026-05-26 14:27:43,210 | accel_jobs | INFO | Processed: Software Engineer
2026-05-26 14:27:43,210 | accel_jobs | INFO | Processed: Sr Principal Software Engineer (L7 Security)
2026-05-26 14:27:43,210 | accel_jobs | INFO | Processed: Principal Software Engineer, Go-To-Market (GTM) and CX Products
2026-05-26 14:27:43,211 | accel_jobs | INFO | Processed: Principal IT Software Engineer
2026-05-26 14:27:43,211 | accel_jobs | INFO | Processed: Principal Software Engineer -Email Security (Cortex)
2026-05-26 14:27:43,211 | accel_jobs | INFO | Processed: Software Engineer - Wildfire
2026-05-26 14:27:43,211 | accel_jobs | INFO | Processed: Principal Engineer Software (Prisma AIRS Backend)
2026-05-26 14:27:43,212 | accel_jobs | INFO | Processed: Principal Software Engineer - SASE AI/ML
2026-05-26 14:27:43,212 | accel_jobs | INFO | Processed: Job Posting Title Principal Full-Stack Software Engineer (Shared Services)
2026-05-26 14:27:43,212 | accel_jobs | INFO | Processed: Principal Engineer Software
2026-05-26 14:27:43,212 | accel_jobs | INFO | Processed: Staff Software Engineer (Infosec)
2026-05-26 14:27:43,213 | accel_jobs | INFO | Processed: Sr Principal Engineer Software (AI Enablement & Strategy)
2026-05-26 14:27:43,213 | accel_jobs | INFO | Processed: Principal Software Engineer, Prisma Access
2026-05-26 14:27:43,213 | accel_jobs | INFO | Processed: Principal/Senior Engineer Software - Agentic Endpoint Security(Cortex)
2026-05-26 14:27:43,213 | accel_jobs | INFO | Processed: Director, Software Engineering - AI Applications
2026-05-26 14:27:43,214 | accel_jobs | INFO | Processed: Software Backend Engineer - Java
2026-05-26 14:27:43,214 | accel_jobs | INFO | Processed: Software Engineer
2026-05-26 14:27:43,214 | accel_jobs | INFO | Processed: Lead Software Engineer
2026-05-26 14:27:43,214 | accel_jobs | INFO | Processed: Senior Software Engineer (Frontend)
2026-05-26 14:27:43,215 | accel_jobs | INFO | Processed: Software Engineer- Integrations Frameworks
2026-05-26 14:27:43,215 | accel_jobs | INFO | Processed: Software Engineer, SystemML - AI Networking
2026-05-26 14:27:43,215 | accel_jobs | INFO | Processed: QA Engineer, Software Quality Assurance
2026-05-26 14:27:43,215 | accel_jobs | INFO | Processed: Model Performance Software Engineer, Claude Code
2026-05-26 14:27:43,216 | accel_jobs | INFO | Processed: Staff UI Software Engineer, Claude.ai Consumer Product
2026-05-26 14:27:43,216 | accel_jobs | INFO | Processed: Mission Software Engineer, Public Sector
2026-05-26 14:27:43,217 | accel_jobs | INFO | Processed: Mission Software Engineer, Public Sector
2026-05-26 14:27:43,217 | accel_jobs | INFO | Processed: Mission Software Engineer, Public Sector
2026-05-26 14:27:43,217 | accel_jobs | INFO | Processed: Sr Software Engineer, BE Python
2026-05-26 14:27:43,217 | accel_jobs | INFO | Searching: backend engineer
2026-05-26 14:27:44,150 | accel_jobs | INFO | Processed: Senior Backend Engineer - C#/.NET, VMware & KVM
2026-05-26 14:27:44,150 | accel_jobs | INFO | Processed: Experienced Backend & AI Engineer (Cortex XSIAM)
2026-05-26 14:27:44,151 | accel_jobs | INFO | Processed: Principal Backend & Cloud Engineer Agentless (Cortex Cloud)
2026-05-26 14:27:44,151 | accel_jobs | INFO | Processed: Senior Backend Engineer - C#/.NET, VMware & KVM
2026-05-26 14:27:44,151 | accel_jobs | INFO | Processed: Junior Backend Engineer - Vinted Academy
2026-05-26 14:27:44,152 | accel_jobs | INFO | Processed: Senior Backend Engineer, Trust & Safety (Actioning)
2026-05-26 14:27:44,152 | accel_jobs | INFO | Processed: Principal Software Engineer (PMTS) - Backend - Infrastructure - Distributed Systems
2026-05-26 14:27:44,152 | accel_jobs | INFO | Processed: Senior/ Principal Backend Engineer (Prisma Browser)
2026-05-26 14:27:44,152 | accel_jobs | INFO | Processed: Senior/ Backend Engineer (Cortex Platform)
2026-05-26 14:27:44,153 | accel_jobs | INFO | Processed: Senior Backend Engineer - AppSec ShiftLeft (Cortex Cloud)
2026-05-26 14:27:44,153 | accel_jobs | INFO | Processed: Principal/ Senior Backend Engineer (KSPM)
2026-05-26 14:27:44,153 | accel_jobs | INFO | Processed: Senior/Principal Backend Engineer -AI IDEX (Cortex Cloud)
2026-05-26 14:27:44,154 | accel_jobs | INFO | Processed: Principal/ Senior Software Engineer | Backend & Cloud (Cortex Cloud)
2026-05-26 14:27:44,154 | accel_jobs | INFO | Processed: Principal Backend Engineer (Cortex Platform)
2026-05-26 14:27:44,154 | accel_jobs | INFO | Processed: Backend Engineering Manager (Cortex Cloud)
2026-05-26 14:27:44,154 | accel_jobs | INFO | Processed: Principal Software Development Engineer | Cortex Detection team (Backend)
2026-05-26 14:27:44,155 | accel_jobs | INFO | Processed: Senior Backend Engineer Broker Team (Cortex)
2026-05-26 14:27:44,156 | accel_jobs | INFO | Processed: Sr Principal / Architect Engineer Software - Backend, Alerting (Chronosphere)
2026-05-26 14:27:44,156 | accel_jobs | INFO | Processed: Senior/Principal Backend Engineer (CIEM)
2026-05-26 14:27:44,157 | accel_jobs | INFO | Processed: Senior/Principal Backend Engineer (Cortex XSIAM)
2026-05-26 14:27:44,158 | accel_jobs | INFO | Processed: Sr Staff Engineer Software (Backend Prisma AIRS)
2026-05-26 14:27:44,158 | accel_jobs | INFO | Processed: Senior Backend Engineer, Trust & Safety (Detection)
2026-05-26 14:27:44,159 | accel_jobs | INFO | Processed: Software Engineer, Backend
2026-05-26 14:27:44,161 | accel_jobs | INFO | Processed: Backend Engineer, Internal Tools
2026-05-26 14:27:44,162 | accel_jobs | INFO | Processed: Software Engineer (Backend) - MTS
2026-05-26 14:27:44,162 | accel_jobs | INFO | Processed: Senior Backend Engineer - Windows Endpoint
2026-05-26 14:27:44,163 | accel_jobs | INFO | Processed: Senior Backend Engineer (Elixir)
2026-05-26 14:27:44,164 | accel_jobs | INFO | Processed: Senior Backend Engineer (Elixir)
2026-05-26 14:27:44,164 | accel_jobs | INFO | Searching: react developer
2026-05-26 14:27:45,065 | accel_jobs | INFO | Processed: Applied AI Developer (Remote)
2026-05-26 14:27:45,065 | accel_jobs | INFO | Processed: Developer Relations Engineer
2026-05-26 14:27:45,065 | accel_jobs | INFO | Processed: Business Development Lead - Middle East
2026-05-26 14:27:45,066 | accel_jobs | INFO | Processed: ConsultingSenior Fullstack Developer: React & NodeJSProfessionalMultiple Cities .st0{fill:none;}
2026-05-26 14:27:45,066 | accel_jobs | INFO | Processed: Software EngineeringCloud Full Stack Developer (React 18 / .NET 8)ProfessionalBucharest, RO .st0{fill:none;}
2026-05-26 14:27:45,066 | accel_jobs | INFO | Processed: Developer Relations Engineer
2026-05-26 14:27:45,066 | accel_jobs | INFO | Processed: Developer Relations Engineer
2026-05-26 14:27:45,067 | accel_jobs | INFO | Processed: Business Development Representative - Remote (Intent + Inbound)
2026-05-26 14:27:45,067 | accel_jobs | INFO | Processed: Senior Sales Development Representative - Remote
2026-05-26 14:27:45,067 | accel_jobs | INFO | Processed: Developer Relations Manager - Perplexity API Platform
2026-05-26 14:27:45,067 | accel_jobs | INFO | Processed: Developer Relations
2026-05-26 14:27:45,067 | accel_jobs | INFO | Processed: Developer Relations Advocate
2026-05-26 14:27:45,068 | accel_jobs | INFO | Processed: Technical Account Manager (German-speaking)
2026-05-26 14:27:45,068 | accel_jobs | INFO | Processed: Technical Account Manager (German-speaking)
2026-05-26 14:27:45,068 | accel_jobs | INFO | Processed: Technical Account Manager (German-speaking)
2026-05-26 14:27:45,068 | accel_jobs | INFO | Processed: Associate Sales Development Representative (In-Office Lahore, Pakistan)
2026-05-26 14:27:45,068 | accel_jobs | INFO | Processed: Residential Broadband Technician
2026-05-26 14:27:45,069 | accel_jobs | INFO | Processed: Retail Sales Associate
2026-05-26 14:27:45,069 | accel_jobs | INFO | Processed: Tow Truck Driver I - DOT (Manheim)
2026-05-26 14:27:45,069 | accel_jobs | INFO | Processed: Account Executive - Client Solutions ( Cox Media)
2026-05-26 14:27:45,069 | accel_jobs | INFO | Processed: Inspector Apprentice (Manheim)
2026-05-26 14:27:45,069 | accel_jobs | INFO | Processed: Inspector Apprentice (Manheim)
2026-05-26 14:27:45,069 | accel_jobs | INFO | Processed: Sr Mobile Inspector (Manheim)
2026-05-26 14:27:45,070 | accel_jobs | INFO | Processed: Maintenance Technician II (Manheim)
2026-05-26 14:27:45,070 | accel_jobs | INFO | Processed: Vehicle Photographer I (Manheim)
2026-05-26 14:27:45,070 | accel_jobs | INFO | Processed: Automotive Detail Technician I (Manheim)
2026-05-26 14:27:45,070 | accel_jobs | INFO | Processed: Senior Email Marketing Specialist (Cox Business)
2026-05-26 14:27:45,071 | accel_jobs | INFO | Processed: Digital Marketing & Advertising Strategist
2026-05-26 14:27:45,071 | accel_jobs | INFO | Processed: Lot Operations Specialist II (Manheim)
2026-05-26 14:27:45,071 | accel_jobs | INFO | Processed: Fueler (Manheim)
2026-05-26 14:27:45,072 | accel_jobs | INFO | Searching: java developer
2026-05-26 14:27:46,035 | accel_jobs | INFO | Processed: Data Center Economic Development Manager
2026-05-26 14:27:46,036 | accel_jobs | INFO | Processed: Data Center Economic Development Manager
2026-05-26 14:27:46,036 | accel_jobs | INFO | Processed: Data Center Economic Development Manager
2026-05-26 14:27:46,036 | accel_jobs | INFO | Processed: Software EngineeringFull Stack Developer (Java)ProfessionalMultiple Cities .st0{fill:none;}
2026-05-26 14:27:46,036 | accel_jobs | INFO | Processed: Software EngineeringBackend Developer - Java + SpringbootProfessionalBANGKOK, TH .st0{fill:none;}
2026-05-26 14:27:46,037 | accel_jobs | INFO | Processed: Software EngineeringApplication Developer-Java & Web TechnologiesProfessionalBangalore, IN .st0{fill:none;}
2026-05-26 14:27:46,037 | accel_jobs | INFO | Processed: Software EngineeringApplication Developer-Java & Web TechnologiesProfessionalHyderabad, IN .st0{fill:none;}
2026-05-26 14:27:46,037 | accel_jobs | INFO | Processed: Infrastructure & TechnologyApplication Developer-Java & Web TechnologiesProfessionalMultiple Cities .st0{fill:none;}
2026-05-26 14:27:46,037 | accel_jobs | INFO | Processed: Infrastructure & TechnologyBackend Java developerProfessionalBangalore, IN .st0{fill:none;}
2026-05-26 14:27:46,037 | accel_jobs | INFO | Processed: Software EngineeringApplication Developer-Java & Web TechnologiesProfessionalBangalore, IN .st0{fill:none;}
2026-05-26 14:27:46,038 | accel_jobs | INFO | Processed: Software EngineeringApplication Developer Java w. GermanProfessionalTIMISOARA, RO .st0{fill:none;}
2026-05-26 14:27:46,038 | accel_jobs | INFO | Processed: Software EngineeringApplication Developer-Java & Web TechnologiesProfessionalBangalore, IN .st0{fill:none;}
2026-05-26 14:27:46,038 | accel_jobs | INFO | Processed: Software EngineeringApplication Developer-Java & Web TechnologiesProfessionalPune, IN .st0{fill:none;}
2026-05-26 14:27:46,038 | accel_jobs | INFO | Processed: Infrastructure & TechnologyApplication Developer-Java & Web TechnologiesProfessionalChennai, IN .st0{fill:none;}
2026-05-26 14:27:46,038 | accel_jobs | INFO | Processed: Software EngineeringApplication Developer-Java & Web TechnologiesProfessionalBangalore, IN .st0{fill:none;}
2026-05-26 14:27:46,039 | accel_jobs | INFO | Processed: Software EngineeringApplication Developer-Java & Web TechnologiesProfessionalGurgaon, IN .st0{fill:none;}
